cadeia,latitude,longitude,referencia_cadastral,uso_cadastral,area_edificio_m2,contexto,status_volta,motivo,fonte_area
Dia,36.4661947,-5.9297864,7598401TF3379N,4_2_retail,1051.3,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.3589813,-3.7799657,3881711VK3638S,1_residential,552.5,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.4388496,2.1727397,1080212DF3818A,4_2_retail,378.6,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,41.4656857,2.2538568,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,41.5934944,-0.9334406,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,42.1354613,-0.407502,4483703YM1648C,1_residential,315.4,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,43.3223746,-2.9871899,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,40.2129046,-5.0848797,2637011UK2523N,1_residential,779.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4037618,-3.6073918,8629201VK4782H,1_residential,904.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,43.2933164,-5.6813621,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,41.6111189,0.6202303,1895202CG0019F,4_2_retail,388.9,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,37.1326242,-6.4790487,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,36.7335946,-2.8844481,0456002WF1605N,4_2_retail,644.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,36.774541,-2.810047,7001302WF1770S,1_residential,2499.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4496839,-3.7014789,0680501VK4708B,1_residential,546.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.7271022,1.8207381,2004019DG0220A,1_residential,323.1,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,37.4015173,-1.7512739,0603402XG1400D,4_2_retail,601.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.1392064,-0.4041548,4887530YM1648F,1_residential,281.4,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,41.6477514,-4.7239829,6523308UM5162D,1_residential,824.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
